Country,Gender,Total,Year
SWEDEN,female,1,2022
SWEDEN,female,1,2022
SWEDEN,female,1,2022
SWEDEN,female,1,2022
SWEDEN,female,1,2022
SWEDEN,female,1,2022
SWEDEN,male,1,2022
SWEDEN,male,1,2022
SWEDEN,male,1,2022
SWEDEN,male,1,2022
SWEDEN,male,1,2022
SWEDEN,male,1,2022
SWEDEN,male,1,2022
USA,female,1,2022
USA,female,1,2022
USA,female,1,2022
USA,female,1,2022
USA,female,1,2022
USA,female,1,2022
USA,female,1,2022
USA,female,1,2022
USA,female,1,2022
USA,female,1,2022
USA,female,1,2022
USA,female,1,2022
USA,female,1,2022
USA,male,1,2022
USA,male,1,2022
USA,male,1,2022
USA,male,1,2022
USA,male,1,2022
USA,male,1,2022
USA,male,1,2022
USA,male,1,2022
SWITZERLAND,female,1,2022
SWITZERLAND,female,1,2022
SWITZERLAND,female,1,2022
SWITZERLAND,female,1,2022
SWITZERLAND,female,1,2022
SWITZERLAND,female,1,2022
SWITZERLAND,female,1,2022
SWITZERLAND,female,1,2022
SWITZERLAND,female,1,2022
SWITZERLAND,male,1,2022
SWITZERLAND,male,1,2022
SWITZERLAND,male,1,2022
SWITZERLAND,male,1,2022
SWITZERLAND,male,1,2022
ROC,female,1,2022
ROC,female,1,2022
ROC,female,1,2022
ROC,female,1,2022
ROC,female,1,2022
ROC,female,1,2022
ROC,female,1,2022
ROC,female,1,2022
ROC,female,1,2022
ROC,male,1,2022
ROC,male,1,2022
ROC,male,1,2022
ROC,male,1,2022
ROC,male,1,2022
ROC,male,1,2022
ROC,male,1,2022
ROC,male,1,2022
ROC,male,1,2022
ROC,male,1,2022
ROC,male,1,2022
ROC,male,1,2022
ROC,male,1,2022
ROC,male,1,2022
ROC,male,1,2022
ROC,male,1,2022
ROC,male,1,2022
NORWAY,female,1,2022
NORWAY,female,1,2022
NORWAY,female,1,2022
NORWAY,female,1,2022
NORWAY,female,1,2022
NORWAY,female,1,2022
NORWAY,female,1,2022
NORWAY,female,1,2022
NORWAY,female,1,2022
NORWAY,male,1,2022
NORWAY,male,1,2022
NORWAY,male,1,2022
NORWAY,male,1,2022
NORWAY,male,1,2022
NORWAY,male,1,2022
NORWAY,male,1,2022
NORWAY,male,1,2022
NORWAY,male,1,2022
NORWAY,male,1,2022
NORWAY,male,1,2022
NORWAY,male,1,2022
NORWAY,male,1,2022
NORWAY,male,1,2022
NORWAY,male,1,2022
NORWAY,male,1,2022
NORWAY,male,1,2022
NORWAY,male,1,2022
NORWAY,male,1,2022
NORWAY,male,1,2022
NORWAY,male,1,2022
NORWAY,male,1,2022
NORWAY,male,1,2022
NORWAY,male,1,2022
NORWAY,male,1,2022
NETHERLANDS,female,1,2022
NETHERLANDS,female,1,2022
NETHERLANDS,female,1,2022
NETHERLANDS,female,1,2022
NETHERLANDS,female,1,2022
NETHERLANDS,female,1,2022
NETHERLANDS,female,1,2022
NETHERLANDS,female,1,2022
NETHERLANDS,female,1,2022
NETHERLANDS,female,1,2022
NETHERLANDS,female,1,2022
NETHERLANDS,female,1,2022
NETHERLANDS,male,1,2022
NETHERLANDS,male,1,2022
NETHERLANDS,male,1,2022
NETHERLANDS,male,1,2022
NETHERLANDS,male,1,2022
GERMANY,female,1,2022
GERMANY,female,1,2022
GERMANY,female,1,2022
GERMANY,female,1,2022
GERMANY,female,1,2022
GERMANY,female,1,2022
GERMANY,female,1,2022
GERMANY,female,1,2022
GERMANY,female,1,2022
GERMANY,female,1,2022
GERMANY,male,1,2022
GERMANY,male,1,2022
GERMANY,male,1,2022
GERMANY,male,1,2022
GERMANY,male,1,2022
GERMANY,male,1,2022
GERMANY,male,1,2022
GERMANY,male,1,2022
GERMANY,male,1,2022
FRANCE,female,1,2022
FRANCE,female,1,2022
FRANCE,female,1,2022
FRANCE,female,1,2022
FRANCE,male,1,2022
FRANCE,male,1,2022
FRANCE,male,1,2022
FRANCE,male,1,2022
FRANCE,male,1,2022
FRANCE,male,1,2022
FRANCE,male,1,2022
FRANCE,male,1,2022
CHINA,female,1,2022
CHINA,female,1,2022
CHINA,female,1,2022
CHINA,female,1,2022
CHINA,female,1,2022
CHINA,male,1,2022
CHINA,male,1,2022
CHINA,male,1,2022
CHINA,male,1,2022
CHINA,male,1,2022
CHINA,male,1,2022
CHINA,male,1,2022
AUSTRIA,female,1,2022
AUSTRIA,female,1,2022
AUSTRIA,female,1,2022
AUSTRIA,female,1,2022
AUSTRIA,female,1,2022
AUSTRIA,male,1,2022
AUSTRIA,male,1,2022
AUSTRIA,male,1,2022
AUSTRIA,male,1,2022
AUSTRIA,male,1,2022
AUSTRIA,male,1,2022
AUSTRIA,male,1,2022
AUSTRIA,male,1,2022
